,name,-95CLs,+95CLs
1,FM0,-728.4000244140625,730.7999877929688
0,FM1,-1143.0,1161.0
11,FM2,-359.20001220703125,359.20001220703125
2,FM3,-567.2000122070312,557.5999755859375
3,FM4,-19.299999237060547,19.899999618530273
8,FM5,-16.5,16.899999618530273
7,FM7,-112.5,114.30000305175781
12,FT0,-3.924999952316284,3.924999952316284
5,FT1,-4.571000099182129,4.557000160217285
4,FT2,-10.699999809265137,10.699999809265137
10,FT5,-3.8550000190734863,3.865000009536743
6,FT6,-4.5289998054504395,4.571000099182129
9,FT7,-10.300000190734863,10.5
