Operator,Chi2,NDF,P-value
FM0,0.015984982266311388,11,0.9999999999999899
FM1,0.04796433672846315,11,0.9999999999958182
FM2,0.08084455950079472,11,0.9999999999271639
FM3,0.0926581257911472,11,0.9999999998465532
FM4,0.23950816222832785,15,0.9999999999921634
FM5,0.2665619835344007,15,0.9999999999827203
FM7,0.24641515943345282,15,0.9999999999903304
FT0,0.2664236003923565,15,0.9999999999827864
FT1,0.26655844731562156,15,0.9999999999827219
FT2,0.2918223320297443,15,0.9999999999663017
FT5,0.31677803272769595,15,0.999999999938325
FT6,0.3169073987367267,15,0.9999999999381394
FT7,0.31680231714063095,15,0.9999999999382903
